Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-06-28_08:06, 25.625, 596, 29, 3.23, -12.445, 0.0, 5.538, 3.519, 28.872, 159.893
2018-06-28_08:09, 25.1875, 624, 34, 3.28, -11.208, 6.45, 5.591, 3.519, 30.934, 172.952
2018-06-28_08:11, 25.3125, 591, 29, 3.25, -12.45, 0.0, 5.699, 3.514, 28.872, 164.542
2018-06-28_08:14, 25.4375, 612, 32, 3.28, -12.344, 0.0, 5.215, 3.519, 31.965, 166.697
2018-06-28_08:17, 25.5625, 580, 27, 3.25, -11.314, 0.0, 5.323, 3.514, 35.059, 186.619
2018-06-28_08:20, 25.4375, 570, 25, 3.25, -12.262, 2.42, 5.323, 3.534, 34.027, 181.126
2018-06-28_08:23, 25.375, 545, 22, 3.24, -11.09, 12.09, 5.215, 3.519, 30.934, 161.321
2018-06-28_08:25, 25.3125, 556, 23, 3.24, -12.276, 19.34, 5.484, 3.534, 32.996, 180.95
2018-06-28_08:28, 25.4375, 556, 23, 3.25, -11.135, 12.09, 5.699, 3.524, 30.934, 176.293
2018-06-28_08:31, 25.3125, 584, 28, 3.24, -12.465, 12.89, 5.591, 3.504, 27.841, 155.659
2018-06-28_08:34, 25.625, 537, 20, 3.25, -11.384, 12.89, 5.43, 3.519, 29.903, 162.373
2018-06-28_08:36, 25.5, 565, 25, 3.24, -12.554, 0.0, 5.484, 3.524, 30.934, 169.642
2018-06-28_08:40, 25.4375, 565, 25, 3.25, -11.188, 9.67, 5.376, 3.5, 31.965, 171.844
2018-06-28_08:42, 25.5625, 553, 23, 3.23, -12.564, 8.86, 5.108, 3.509, 32.996, 168.544
2018-07-02_14:54, None, None, None, 3.26, -12.754, 1837.36, None, None, None, None
2018-07-02_14:55, None, None, None, 3.26, -12.576, 1340.95, None, None, None, None
2018-07-02_14:57, None, None, None, 3.25, -12.913, 1324.03, None, None, None, None
2018-07-02_14:58, None, None, None, 3.25, -13.239, 1356.26, None, None, None, None
2018-07-02_14:59, None, None, None, 3.26, -12.818, 1299.05, None, None, None, None
2018-07-02_15:01, None, None, None, 3.25, -13.275, 1288.57, None, None, None, None
2018-07-02_15:09, None, None, None, 3.25, -13.433, 1948.57, None, None, None, None
