Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-09-26_10:54, 13.375, None, None, 0, None, None, None, None, None, None
2018-09-26_10:55, 13.6875, None, None, 0, None, None, None, None, None, None
2018-09-26_10:56, 14.0, None, None, 0, None, None, None, None, None, None
2018-09-26_10:58, 14.1875, None, None, 0, None, None, None, None, None, None
2018-09-26_10:59, 14.5, None, None, 0, None, None, None, None, None, None
2018-09-26_11:02, 15.125, None, None, 0, None, None, None, None, None, None
2018-09-26_11:03, 15.4375, None, None, 0, None, None, None, None, None, None
2018-09-26_11:04, 15.625, None, None, 0, None, None, None, None, None, None
2018-09-26_11:06, 15.9375, None, None, 0, None, None, None, None, None, None
2018-09-26_11:07, 16.0625, None, None, 0, None, None, None, None, None, None
2018-09-26_11:08, 16.3125, None, None, 0, None, None, None, None, None, None
2018-09-26_11:11, 16.625, None, None, 0, None, None, None, None, None, None
2018-09-26_11:12, 16.75, None, None, 0, None, None, None, None, None, None
2018-09-26_11:12, 18.0625, None, None, 0, None, None, None, None, None, None
2018-09-26_11:13, 18.25, None, None, 0, None, None, None, None, None, None
2018-09-26_11:15, 18.375, None, None, 0, None, None, None, None, None, None
2018-09-26_11:15, 18.4375, None, None, 0, None, None, None, None, None, None
2018-09-26_11:16, 18.5, None, None, 0, None, None, None, None, None, None
2018-09-26_11:17, 18.5625, None, None, 0, None, None, None, None, None, None
2018-09-26_11:17, 18.5625, None, None, 0, None, None, None, None, None, None
2018-09-26_11:18, 18.8125, None, None, 0, None, None, None, None, None, None
2018-09-26_11:19, 18.8125, None, None, 0, None, None, None, None, None, None
2018-09-26_11:19, 18.8125, None, None, 0, None, None, None, None, None, None
2018-09-26_11:20, 18.875, None, None, 0, None, None, None, None, None, None
2018-09-26_11:21, 18.9375, None, None, 0, None, None, None, None, None, None
2018-09-26_11:21, 19.0625, None, None, 0, None, None, None, None, None, None
2018-09-26_11:22, 19.125, None, None, 0, None, None, None, None, None, None
2018-09-26_11:23, 19.1875, None, None, 0, None, None, None, None, None, None
2018-09-26_11:23, 19.1875, None, None, 0, None, None, None, None, None, None
2018-09-26_11:24, 19.25, None, None, 0, None, None, None, None, None, None
2018-09-26_11:25, 19.375, None, None, 0, None, None, None, None, None, None
2018-09-26_11:25, 19.375, None, None, 0, None, None, None, None, None, None
2018-09-26_11:26, 19.5, None, None, 0, None, None, None, None, None, None
2018-09-26_11:39, 19.625, None, None, 0, None, None, None, None, None, None
2018-09-26_11:40, 19.75, None, None, 0, None, None, None, None, None, None
